 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 29 632 11 1 ZTF_r 503294024115 0 2.2961 159.946 4.87014 26.3057 4.1083e-06 0.0219306 0.11407 7.76582e-06 706 30. 0.060673 0.067399 20.6239 26.275 1 2458257.7940278 632120241 -8.2199011299113 29.8982101707596 -0.30582726752868 1.2373944869117 21.1142623747155 47.3059109056848 0.449340637135093 1.11499308994025 0.223979849552808 17.15 0.0579999983310699 3.92799997329712 0.430000007152557 2458158.970718 2458254.864271 0
 30 632 11 1 ZTF_r 503378254115 0 2.5101 159.926 4.55078 26.3078 5.1417e-06 0.0245409 0.113423 9.65334e-06 706 30. 0.06864 0.069086 20.5928 26.275 1 2458257.8782523 632120241 -48.0201616062678 32.8414184382438 -1.62650915508004 1.09674223153739 20.3945837447362 49.8777147570342 0.41164561246788 1.13107591884648 0.223979849552808 17.15 0.0579999983310699 3.92799997329712 0.430000007152557 2458158.970718 2458254.864271 0
 31 632 11 1 ZTF_r 507314814115 0 6.2759 159.897 5.51778 26.5558 0.000183104 0.091891 0.115039 0.000331931 264 30. 0.087059 0.158368 20.2523 26.275 1 2458261.8148148 632120241 -1474.82754021994 66.4065001357291 -24.7050335477555 1.24187366374196 -1388.52084379417 95.6438637954911 -14.6153925206799 1.37240495595792 0.223979849552808 17.15 0.0579999983310699 3.92799997329712 0.430000007152557 2458158.970718 2458254.864271 0
 32 632 11 1 ZTF_i 509337084115 0 1.998 343.419 8.08432 25.7974 2.6974e-06 0.0260928 0.189578 1.72249e-05 715 30. 0.067058 0.080566 19.6774 25.7974 2 2458263.8370833 632120341 -30.3003415831512 49.9334275640345 -0.675011151003125 1.10713323430112 91.5259667192191 79.8718617538211 1.15362779015982 1.09582804975989 0.129888574100765 17.1770001983643 0.0599999986588955 3.75399994850159 0.379999995231628 2458229.006018 2458363.633657 0
 33 632 11 1 ZTF_i 513249234115 0 1.9073 331.821 12.1931 25.7732 2.9338e-06 0.0272497 0.18759 1.89843e-05 717 30. 0.058993 0.060129 19.2726 25.7732 2 2458267.7492361 632120341 67.8018752340935 61.5805900814082 1.22476469956335 0.87904534290841 57.5732206647916 112.764419414735 0.514000603375297 1.05107608363029 0.129888574100765 17.1770001983643 0.0599999986588955 3.75399994850159 0.379999995231628 2458229.006018 2458363.633657 0
 34 632 11 1 ZTF_g 513436494115 33 2.3961 29.4617 30.2699 25.306 0.00070601 0.0768527 -0.037881 0.00224302 90 30. 0.076719 0.133969 17.5574 25.306 1 2458267.9364931 632120141 -102.990665172668 199.208750071712 -0.57510117333385 1.12180014325551 -105.697518613983 291.192177762722 -0.365426703082159 1.22699251804882 0.251703313884991 17.6020004272461 0.0370000004768372 2.43799996376038 0.162000000476837 2458203.919549 2458333.687569 0
 35 1676 2 0 ZTF_g 515332760415 0 2.5536 479.748 13.2861 26.2604 1.98496e-05 0.0418965 -0.0136179 4.76683e-05 564 30. 0.056583 0.064545 19.5113 26.2604 2 2458269.8327662 1676120104 0.449600432543002 76.5901211041179 0.00652993360141058 1.01004532464541 -11.7189047032348 120.704770450442 -0.0977412256088174 1.10964542513599 0.0613631432058131 17.6350004196167 0.0410000011324883 2.65100002288818 0.155000001192093 2458269.832766 2458680.729491 0
 36 1676 2 0 ZTF_g 515333210415 0 2.4544 475.342 13.2861 26.2494 1.71806e-05 0.0392058 -0.00819521 4.14021e-05 565 30. 0.053352 0.062727 19.551 26.2494 2 2458269.8332176 1676120104 -44.7715190788859 69.6688288605879 -0.714855266536625 1.0012019515826 -88.3793838822877 112.402201056355 -0.791573681666836 1.10496176434799 0.0613631432058131 17.6350004196167 0.0410000011324883 2.65100002288818 0.155000001192093 2458269.832766 2458680.729491 0
 37 632 11 1 ZTF_g 516269144115 0 2.4108 80.9714 10.3888 26.2763 1.37639e-05 0.0369654 -0.0165722 3.08193e-05 619 30. 0.052275 0.074123 19.8512 26.2763 1 2458270.7691435 632120141 -76.6172025610227 60.144304263546 -1.41705460811058 1.10971887283459 46.440239389254 96.2034826268663 0.485980505038589 1.13899692449732 0.251703313884991 17.6020004272461 0.0370000004768372 2.43799996376038 0.162000000476837 2458203.919549 2458333.687569 0
 38 632 11 1 ZTF_r 516338864115 0 1.5402 159.882 10.9106 26.3111 5.6693e-06 0.025667 0.1071 1.05715e-05 705 30. 0.051552 0.056318 20.0616 26.275 1 2458270.8388657 632120241 73.0206132493582 47.8491712278396 1.69756282913284 1.16473622232328 -155.642598904521 91.0122219770912 -1.7216463608862 1.05957830211571 0.223979849552808 17.15 0.0579999983310699 3.92799997329712 0.430000007152557 2458158.970718 2458254.864271 0
